State,Year,<25k,50k,100k,200k,300k,>300k,TotalEconomic
Andaman & Nicobar Islands,2001,4,12,0,0,0,0,16
Andhra Pradesh,2001,1421,104,27,9,0,4,1565
Arunachal Pradesh,2001,99,38,0,0,0,0,137
Assam,2001,177,47,16,13,0,0,253
Bihar,2001,303,213,58,12,0,0,586
Chandigarh,2001,29,40,2,0,0,0,71
Chhattisgarh,2001,1071,224,43,19,2,3,1362
Dadra & Nagar Haveli,2001,2,0,0,0,0,0,2
Daman & Diu,2001,2,0,0,0,0,0,2
Delhi,2001,686,129,40,0,0,3,858
Goa,2001,62,28,1,1,0,1,93
Gujarat,2001,3332,711,306,9,7,5,4370
Haryana,2001,1086,502,339,86,2,0,2015
Himachal Pradesh,2001,84,32,26,0,0,0,142
Jammu & Kashmir,2001,1,1,0,0,0,0,2
Jharkhand,2001,248,35,11,3,1,0,298
Karnataka,2001,736,42,51,11,3,0,843
Kerala,2001,127,1,4,0,0,0,132
Lakshadweep,2001,1,0,0,0,0,0,1
Madhya Pradesh,2001,2451,1797,2625,293,101,61,7328
Maharashtra,2001,4626,314,46,4,0,0,4990
Manipur,2001,0,0,0,0,0,0,0
Meghalaya,2001,56,7,3,0,0,0,66
Mizoram,2001,41,6,2,0,0,0,49
Nagaland,2001,26,0,0,0,0,0,26
Odisha,2001,188,23,1,0,0,0,212
Puducherry,2001,3,0,0,0,0,0,3
Punjab,2001,15,5,6,3,0,0,29
Rajasthan,2001,2202,666,301,64,12,0,3245
Sikkim,2001,17,0,0,0,0,0,17
Tamil Nadu,2001,4144,211,144,29,22,5,4555
Tripura,2001,12,6,1,1,0,0,20
Uttar Pradesh,2001,122,93,29,12,0,0,256
Uttarakhand,2001,24,33,0,0,0,0,57
West Bengal,2001,22,5,0,0,0,0,27
Andaman & Nicobar Islands,2002,1,5,0,0,0,0,6
Andhra Pradesh,2002,1256,521,270,37,0,0,2084
Arunachal Pradesh,2002,30,66,26,10,0,0,132
Assam,2002,199,46,40,27,18,2,332
Bihar,2002,360,168,109,23,0,0,660
Chandigarh,2002,31,14,28,2,0,0,75
Chhattisgarh,2002,958,304,88,30,21,6,1407
Dadra & Nagar Haveli,2002,0,0,0,0,0,0,0
Daman & Diu,2002,0,0,0,0,0,0,0
Delhi,2002,868,214,99,6,1,4,1192
Goa,2002,60,7,1,0,0,0,68
Gujarat,2002,2824,292,180,29,8,2,3335
Haryana,2002,1518,577,336,80,0,0,2511
Himachal Pradesh,2002,47,70,4,0,0,0,121
Jammu & Kashmir,2002,3,0,0,0,0,0,3
Jharkhand,2002,356,188,89,73,20,20,746
Karnataka,2002,215,47,13,1,1,0,277
Kerala,2002,188,41,5,0,0,0,234
Lakshadweep,2002,0,0,0,0,0,0,0
Madhya Pradesh,2002,6916,956,516,148,0,0,8536
Maharashtra,2002,4256,930,159,32,2,0,5379
Manipur,2002,0,0,0,0,0,0,0
Meghalaya,2002,65,3,0,0,0,0,68
Mizoram,2002,39,10,11,0,0,0,60
Nagaland,2002,12,2,0,0,0,0,14
Odisha,2002,151,39,2,0,0,0,192
Puducherry,2002,13,3,0,0,0,0,16
Punjab,2002,67,31,54,3,1,0,156
Rajasthan,2002,1527,298,65,36,11,0,1937
Sikkim,2002,2,0,0,0,0,0,2
Tamil Nadu,2002,5177,886,12,3,2,2,6082
Tripura,2002,5,2,0,0,0,0,7
Uttar Pradesh,2002,79,14,3,0,0,0,96
Uttarakhand,2002,12,19,3,0,0,0,34
West Bengal,2002,14,3,0,0,0,0,17
Andaman & Nicobar Islands,2003,2,3,4,0,0,0,9
Andhra Pradesh,2003,1774,617,277,5,0,0,2673
Arunachal Pradesh,2003,69,63,64,0,0,0,196
Assam,2003,274,40,34,17,6,7,378
Bihar,2003,150,123,14,5,0,0,292
Chandigarh,2003,23,41,48,4,0,0,116
Chhattisgarh,2003,1174,323,62,37,5,1,1602
Dadra & Nagar Haveli,2003,2,0,0,0,0,0,2
Daman & Diu,2003,0,0,2,0,0,0,2
Delhi,2003,659,119,18,6,0,0,802
Goa,2003,75,5,6,1,0,0,87
Gujarat,2003,2163,484,57,10,2,1,2717
Haryana,2003,1178,493,202,84,69,0,2026
Himachal Pradesh,2003,49,32,42,1,0,0,124
Jammu & Kashmir,2003,15,2,1,0,0,0,18
Jharkhand,2003,305,287,135,94,0,0,821
Karnataka,2003,263,72,23,0,0,0,358
Kerala,2003,248,467,48,1,0,0,764
Lakshadweep,2003,0,0,0,0,0,0,0
Madhya Pradesh,2003,5137,1682,766,72,15,0,7672
Maharashtra,2003,4328,481,160,80,14,7,5070
Manipur,2003,0,0,0,0,0,0,0
Meghalaya,2003,31,4,0,0,0,0,35
Mizoram,2003,61,17,3,1,0,0,82
Nagaland,2003,1,0,0,0,0,0,1
Odisha,2003,286,26,1,0,0,0,313
Puducherry,2003,35,5,0,0,0,0,40
Punjab,2003,105,20,4,3,0,0,132
Rajasthan,2003,1322,339,155,28,18,0,1862
