State,Year,Illiterate,Primary School,Middle School,High School,TotalEducation
Andaman & Nicobar Islands,2001,0,4,12,0,16
Andhra Pradesh,2001,640,683,178,64,1565
Arunachal Pradesh,2001,16,70,39,12,137
Assam,2001,91,88,74,0,253
Bihar,2001,190,253,87,56,586
Chandigarh,2001,12,26,33,0,71
Chhattisgarh,2001,205,748,348,61,1362
Dadra & Nagar Haveli,2001,0,2,0,0,2
Daman & Diu,2001,2,0,0,0,2
Delhi,2001,268,323,228,39,858
Goa,2001,31,19,34,9,93
Gujarat,2001,835,2125,1144,266,4370
Haryana,2001,343,561,879,232,2015
Himachal Pradesh,2001,1,31,69,41,142
Jammu & Kashmir,2001,1,0,1,0,2
Jharkhand,2001,126,114,43,15,298
Karnataka,2001,566,167,91,19,843
Kerala,2001,23,43,59,7,132
Lakshadweep,2001,0,0,0,1,1
Madhya Pradesh,2001,1757,3681,1330,560,7328
Maharashtra,2001,832,2017,1973,168,4990
Manipur,2001,0,0,0,0,0
Meghalaya,2001,39,23,3,1,66
Mizoram,2001,6,23,20,0,49
Nagaland,2001,1,12,12,1,26
Odisha,2001,39,110,51,12,212
Puducherry,2001,0,3,0,0,3
Punjab,2001,10,8,4,7,29
Rajasthan,2001,957,1184,910,194,3245
Sikkim,2001,0,5,12,0,17
Tamil Nadu,2001,855,3516,163,21,4555
Tripura,2001,10,6,2,2,20
Uttar Pradesh,2001,35,85,103,33,256
Uttarakhand,2001,0,0,28,29,57
West Bengal,2001,7,13,7,0,27
Andaman & Nicobar Islands,2002,0,2,4,0,6
Andhra Pradesh,2002,1033,645,291,115,2084
Arunachal Pradesh,2002,41,49,32,10,132
Assam,2002,100,94,120,18,332
Bihar,2002,157,309,118,76,660
Chandigarh,2002,6,18,46,5,75
Chhattisgarh,2002,404,562,409,32,1407
Dadra & Nagar Haveli,2002,0,0,0,0,0
Daman & Diu,2002,0,0,0,0,0
Delhi,2002,397,317,310,168,1192
Goa,2002,25,24,11,8,68
Gujarat,2002,750,1612,843,130,3335
Haryana,2002,424,652,1104,331,2511
Himachal Pradesh,2002,14,37,50,20,121
Jammu & Kashmir,2002,3,0,0,0,3
Jharkhand,2002,194,379,13,160,746
Karnataka,2002,116,92,64,5,277
Kerala,2002,7,53,115,59,234
Lakshadweep,2002,0,0,0,0,0
