State,Year,Homeless,With Guardian,With Parents,TotalFamily
Andaman & Nicobar Islands,2001,0,0,16,16
Andhra Pradesh,2001,552,287,726,1565
Arunachal Pradesh,2001,0,58,79,137
Assam,2001,21,74,158,253
Bihar,2001,43,101,442,586
Chandigarh,2001,0,4,67,71
Chhattisgarh,2001,37,143,1182,1362
Dadra & Nagar Haveli,2001,0,0,2,2
Daman & Diu,2001,2,0,0,2
Delhi,2001,88,84,686,858
Goa,2001,1,6,86,93
Gujarat,2001,918,182,3270,4370
Haryana,2001,35,84,1896,2015
Himachal Pradesh,2001,0,5,137,142
Jammu & Kashmir,2001,0,0,2,2
Jharkhand,2001,80,58,160,298
Karnataka,2001,39,111,693,843
Kerala,2001,16,28,88,132
Lakshadweep,2001,0,0,1,1
Madhya Pradesh,2001,116,1527,5685,7328
Maharashtra,2001,168,503,4319,4990
Manipur,2001,0,0,0,0
Meghalaya,2001,2,25,39,66
Mizoram,2001,2,14,33,49
Nagaland,2001,2,3,21,26
Odisha,2001,7,41,164,212
Puducherry,2001,0,0,3,3
Punjab,2001,0,0,29,29
Rajasthan,2001,36,217,2992,3245
Sikkim,2001,0,5,12,17
Tamil Nadu,2001,334,473,3748,4555
Tripura,2001,14,2,4,20
Uttar Pradesh,2001,20,32,204,256
Uttarakhand,2001,0,0,57,57
West Bengal,2001,0,8,19,27
Andaman & Nicobar Islands,2002,0,0,6,6
Andhra Pradesh,2002,703,374,1007,2084
Arunachal Pradesh,2002,1,18,113,132
Assam,2002,34,103,195,332
Bihar,2002,46,116,498,660
Chandigarh,2002,0,0,75,75
Chhattisgarh,2002,83,207,1117,1407
Dadra & Nagar Haveli,2002,0,0,0,0
Daman & Diu,2002,0,0,0,0
Delhi,2002,132,136,924,1192
Goa,2002,3,5,60,68
Gujarat,2002,157,237,2941,3335
Haryana,2002,84,216,2211,2511
Himachal Pradesh,2002,0,44,77,121
Jammu & Kashmir,2002,0,0,3,3
Jharkhand,2002,157,174,415,746
Karnataka,2002,12,35,230,277
Kerala,2002,21,39,174,234
Lakshadweep,2002,0,0,0,0
Madhya Pradesh,2002,156,2330,6050,8536
Maharashtra,2002,162,587,4630,5379
Manipur,2002,0,0,0,0
Meghalaya,2002,0,30,38,68
Mizoram,2002,0,19,41,60
Nagaland,2002,0,5,9,14
Odisha,2002,4,30,158,192
Puducherry,2002,0,0,16,16
Punjab,2002,24,10,122,156
Rajasthan,2002,30,188,1719,1937
Sikkim,2002,0,1,1,2
Tamil Nadu,2002,376,777,4929,6082
Tripura,2002,2,1,4,7
Uttar Pradesh,2002,8,7,81,96
Uttarakhand,2002,0,1,33,34
West Bengal,2002,1,2,14,17
Andaman & Nicobar Islands,2003,0,0,9,9
Andhra Pradesh,2003,732,380,1561,2673
Arunachal Pradesh,2003,0,98,98,196
Assam,2003,18,143,217,378
Bihar,2003,32,68,192,292
Chandigarh,2003,3,0,113,116
Chhattisgarh,2003,128,112,1362,1602
Dadra & Nagar Haveli,2003,0,0,2,2
Daman & Diu,2003,0,0,2,2
Delhi,2003,64,60,678,802
Goa,2003,1,1,85,87
Gujarat,2003,163,251,2303,2717
Haryana,2003,97,189,1740,2026
Himachal Pradesh,2003,0,22,102,124
Jammu & Kashmir,2003,0,0,18,18
Jharkhand,2003,0,446,375,821
Karnataka,2003,79,82,197,358
Kerala,2003,21,92,651,764
Lakshadweep,2003,0,0,0,0
Madhya Pradesh,2003,219,947,6506,7672
Maharashtra,2003,116,834,4120,5070
Manipur,2003,0,0,0,0
Meghalaya,2003,2,11,22,35
Mizoram,2003,0,4,78,82
Nagaland,2003,0,0,1,1
Odisha,2003,13,65,235,313
Puducherry,2003,4,3,33,40
Punjab,2003,0,1,131,132
Rajasthan,2003,91,100,1671,1862
Sikkim,2003,0,0,17,17
Tamil Nadu,2003,350,783,3762,4895
Tripura,2003,0,0,0,0
Uttar Pradesh,2003,2,5,54,61
Uttarakhand,2003,0,0,30,30
West Bengal,2003,21,32,70,123
Andaman & Nicobar Islands,2004,0,5,8,13
Andhra Pradesh,2004,902,361,933,2196
Arunachal Pradesh,2004,0,23,68,91
Assam,2004,25,48,258,331
Bihar,2004,21,29,186,236
Chandigarh,2004,16,31,62,109
Chhattisgarh,2004,27,267,1708,2002
Dadra & Nagar Haveli,2004,0,0,4,4
Daman & Diu,2004,0,0,0,0
Delhi,2004,63,409,437,909
Goa,2004,3,2,69,74
Gujarat,2004,157,270,2262,2689
Haryana,2004,17,82,1578,1677
Himachal Pradesh,2004,0,2,115,117
Jammu & Kashmir,2004,1,0,10,11
Jharkhand,2004,0,442,380,822
Karnataka,2004,16,94,330,440
Kerala,2004,19,71,292,382
Lakshadweep,2004,0,0,0,0
Madhya Pradesh,2004,402,970,6061,7433
Maharashtra,2004,134,665,4697,5496
Manipur,2004,0,0,0,0
Meghalaya,2004,0,9,46,55
Mizoram,2004,115,201,502,818
Nagaland,2004,0,0,3,3
Odisha,2004,19,37,303,359
Puducherry,2004,43,0,12,55
Punjab,2004,0,2,94,96
Rajasthan,2004,12,166,1697,1875
Sikkim,2004,0,0,13,13
Tamil Nadu,2004,288,662,1423,2373
Tripura,2004,0,0,0,0
Uttar Pradesh,2004,13,47,75,135
Uttarakhand,2004,0,0,36,36
West Bengal,2004,27,27,39,93
Andaman & Nicobar Islands,2005,0,3,7,10
Andhra Pradesh,2005,980,402,1046,2428
Arunachal Pradesh,2005,0,78,69,147
Assam,2005,24,95,254,373
Bihar,2005,12,60,265,337
Chandigarh,2005,0,0,116,116
Chhattisgarh,2005,20,536,2581,3137
Dadra & Nagar Haveli,2005,0,0,19,19
Daman & Diu,2005,0,0,1,1
Delhi,2005,100,278,872,1250
Goa,2005,4,1,61,66
Gujarat,2005,241,244,2263,2748
Haryana,2005,45,65,1513,1623
Himachal Pradesh,2005,0,2,192,194
Jammu & Kashmir,2005,0,0,7,7
Jharkhand,2005,26,548,486,1060
Karnataka,2005,19,12,211,242
Kerala,2005,26,41,397,464
Lakshadweep,2005,0,0,1,1
Madhya Pradesh,2005,232,844,5302,6378
Maharashtra,2005,385,664,5254,6303
Manipur,2005,0,0,0,0
Meghalaya,2005,1,21,85,107
Mizoram,2005,0,56,357,413
Nagaland,2005,0,0,3,3
Odisha,2005,75,79,501,655
Puducherry,2005,0,0,42,42
Punjab,2005,1,0,134,135
Rajasthan,2005,33,256,1669,1958
Sikkim,2005,0,0,24,24
Tamil Nadu,2005,470,209,1469,2148
Tripura,2005,0,0,0,0
Uttar Pradesh,2005,3,15,97,115
Uttarakhand,2005,0,4,35,39
West Bengal,2005,22,51,65,138
Andaman & Nicobar Islands,2006,0,6,85,91
Andhra Pradesh,2006,438,284,1157,1879
Arunachal Pradesh,2006,0,33,47,80
Assam,2006,47,220,272,539
Bihar,2006,10,23,206,239
Chandigarh,2006,6,3,98,107
Chhattisgarh,2006,78,389,1586,2053
Dadra & Nagar Haveli,2006,0,0,9,9
Daman & Diu,2006,0,1,4,5
Delhi,2006,77,416,1020,1513
Goa,2006,1,1,66,68
Gujarat,2006,215,224,2368,2807
Haryana,2006,32,64,1616,1712
Himachal Pradesh,2006,0,6,122,128
Jammu & Kashmir,2006,0,0,8,8
Jharkhand,2006,211,221,430,862
Karnataka,2006,26,51,582,659
Kerala,2006,11,26,407,444
Lakshadweep,2006,0,0,0,0
Madhya Pradesh,2006,400,1663,4751,6814
Maharashtra,2006,302,849,5507,6658
Manipur,2006,0,0,0,0
Meghalaya,2006,13,19,26,58
Mizoram,2006,0,21,68,89
Nagaland,2006,0,1,2,3
Odisha,2006,0,78,549,627
Puducherry,2006,0,0,37,37
Punjab,2006,0,0,159,159
Rajasthan,2006,22,101,1963,2086
Sikkim,2006,0,0,35,35
Tamil Nadu,2006,294,208,1472,1974
Tripura,2006,0,0,0,0
Uttar Pradesh,2006,0,13,159,172
Uttarakhand,2006,0,4,102,106
West Bengal,2006,14,33,77,124
Andaman & Nicobar Islands,2007,0,6,69,75
Andhra Pradesh,2007,367,251,1335,1953
Arunachal Pradesh,2007,0,55,50,105
Assam,2007,270,371,514,1155
Bihar,2007,66,297,1106,1469
Chandigarh,2007,2,4,112,118
Chhattisgarh,2007,150,350,1527,2027
Dadra & Nagar Haveli,2007,0,0,11,11
Daman & Diu,2007,0,3,11,14
Delhi,2007,114,145,711,970
Goa,2007,5,8,64,77
Gujarat,2007,261,260,2357,2878
Haryana,2007,46,104,1690,1840
Himachal Pradesh,2007,0,0,145,145
Jammu & Kashmir,2007,0,0,15,15
Jharkhand,2007,71,132,306,509
Karnataka,2007,24,81,512,617
Kerala,2007,20,44,611,675
Lakshadweep,2007,0,0,0,0
Madhya Pradesh,2007,389,1364,5597,7350
Maharashtra,2007,174,870,5792,6836
Manipur,2007,0,0,0,0
Meghalaya,2007,1,35,70,106
Mizoram,2007,0,0,91,91
Nagaland,2007,0,0,0,0
Odisha,2007,66,157,435,658
Puducherry,2007,0,3,59,62
Punjab,2007,0,0,129,129
Rajasthan,2007,25,200,1899,2124
Sikkim,2007,0,0,94,94
Tamil Nadu,2007,289,247,1185,1721
Tripura,2007,0,2,0,2
Uttar Pradesh,2007,0,46,381,427
Uttarakhand,2007,0,29,100,129
West Bengal,2007,14,35,96,145
Andaman & Nicobar Islands,2008,0,5,50,55
Andhra Pradesh,2008,272,229,1121,1622
Arunachal Pradesh,2008,0,16,69,85
Assam,2008,37,240,367,644
Bihar,2008,85,190,969,1244
Chandigarh,2008,4,3,155,162
Chhattisgarh,2008,18,210,2818,3046
Dadra & Nagar Haveli,2008,0,0,22,22
Daman & Diu,2008,0,2,9,11
Delhi,2008,46,57,420,523
Goa,2008,2,2,63,67
Gujarat,2008,155,245,2299,2699
Haryana,2008,223,113,1463,1799
Himachal Pradesh,2008,0,8,155,163
Jammu & Kashmir,2008,0,0,12,12
Jharkhand,2008,30,125,394,549
Karnataka,2008,4,79,432,515
Kerala,2008,2,47,727,776
Lakshadweep,2008,0,0,0,0
Madhya Pradesh,2008,305,1233,5570,7108
Maharashtra,2008,373,994,5652,7019
Manipur,2008,0,0,0,0
Meghalaya,2008,13,37,89,139
Mizoram,2008,0,8,62,70
Nagaland,2008,0,0,0,0
Odisha,2008,17,83,673,773
Puducherry,2008,0,0,55,55
Punjab,2008,0,0,113,113
Rajasthan,2008,39,195,2118,2352
Sikkim,2008,0,2,35,37
Tamil Nadu,2008,163,219,1211,1593
Tripura,2008,15,14,14,43
Uttar Pradesh,2008,2,40,305,347
Uttarakhand,2008,0,0,157,157
West Bengal,2008,43,456,208,707
Andaman & Nicobar Islands,2009,0,3,35,38
Andhra Pradesh,2009,116,258,1191,1565
Arunachal Pradesh,2009,0,72,67,139
Assam,2009,87,187,289,563
Bihar,2009,121,223,722,1066
Chandigarh,2009,4,2,129,135
Chhattisgarh,2009,191,481,2440,3112
Dadra & Nagar Haveli,2009,0,0,26,26
Daman & Diu,2009,0,1,2,3
Delhi,2009,26,76,484,586
Goa,2009,1,6,69,76
Gujarat,2009,155,262,2049,2466
Haryana,2009,223,50,1101,1374
Himachal Pradesh,2009,0,0,170,170
Jammu & Kashmir,2009,0,0,11,11
Jharkhand,2009,124,201,463,788
Karnataka,2009,10,27,245,282
Kerala,2009,33,35,639,707
Lakshadweep,2009,0,0,0,0
Madhya Pradesh,2009,331,1238,4617,6186
Maharashtra,2009,438,864,5670,6972
Manipur,2009,0,0,0,0
Meghalaya,2009,7,13,68,88
Mizoram,2009,0,0,20,20
Nagaland,2009,12,6,2,20
Odisha,2009,15,48,420,483
Puducherry,2009,0,3,78,81
Punjab,2009,0,3,230,233
Rajasthan,2009,21,196,2239,2456
Sikkim,2009,7,10,43,60
Tamil Nadu,2009,338,225,2358,2921
Tripura,2009,12,33,46,91
Uttar Pradesh,2009,0,23,452,475
Uttarakhand,2009,44,32,178,254
West Bengal,2009,36,79,80,195
Andaman & Nicobar Islands,2010,0,9,17,26
Andhra Pradesh,2010,172,235,1542,1949
Arunachal Pradesh,2010,0,54,27,81
Assam,2010,84,143,158,385
Bihar,2010,117,149,476,742
Chandigarh,2010,0,8,160,168
Chhattisgarh,2010,33,430,1893,2356
Dadra & Nagar Haveli,2010,0,0,19,19
Daman & Diu,2010,2,4,4,10
Delhi,2010,36,87,504,627
Goa,2010,0,2,75,77
Gujarat,2010,164,281,1676,2121
Haryana,2010,149,18,740,907
Himachal Pradesh,2010,0,4,214,218
Jammu & Kashmir,2010,0,1,26,27
Jharkhand,2010,3,5,96,104
Karnataka,2010,8,27,169,204
Kerala,2010,7,55,764,826
Lakshadweep,2010,0,0,0,0
Madhya Pradesh,2010,204,919,5326,6449
Maharashtra,2010,429,793,5166,6388
Manipur,2010,0,0,0,0
Meghalaya,2010,0,49,69,118
Mizoram,2010,0,2,114,116
Nagaland,2010,0,11,42,53
Odisha,2010,28,73,443,544
Puducherry,2010,0,3,46,49
Punjab,2010,2,21,223,246
Rajasthan,2010,43,165,2170,2378
Sikkim,2010,2,10,70,82
Tamil Nadu,2010,116,302,1226,1644
Tripura,2010,0,0,46,46
Uttar Pradesh,2010,13,98,741,852
Uttarakhand,2010,42,2,110,154
West Bengal,2010,18,122,197,337
