State,Year,New Offender,Repeat Offender,TotalRecidivism
Andaman & Nicobar Islands,2001,16,0,16
Andhra Pradesh,2001,1392,173,1565
Arunachal Pradesh,2001,130,7,137
Assam,2001,248,5,253
Bihar,2001,576,10,586
Chandigarh,2001,71,0,71
Chhattisgarh,2001,1210,152,1362
Dadra & Nagar Haveli,2001,2,0,2
Daman & Diu,2001,2,0,2
Delhi,2001,835,23,858
Goa,2001,93,0,93
Gujarat,2001,4082,288,4370
Haryana,2001,1955,60,2015
Himachal Pradesh,2001,116,26,142
Jammu & Kashmir,2001,2,0,2
Jharkhand,2001,213,85,298
Karnataka,2001,786,57,843
Kerala,2001,132,0,132
Lakshadweep,2001,1,0,1
Madhya Pradesh,2001,3816,3512,7328
Maharashtra,2001,4778,212,4990
Manipur,2001,0,0,0
Meghalaya,2001,59,7,66
Mizoram,2001,39,10,49
Nagaland,2001,12,14,26
Odisha,2001,208,4,212
Puducherry,2001,3,0,3
Punjab,2001,20,9,29
Rajasthan,2001,3087,158,3245
Sikkim,2001,17,0,17
Tamil Nadu,2001,4444,111,4555
Tripura,2001,8,12,20
Uttar Pradesh,2001,256,0,256
Uttarakhand,2001,57,0,57
West Bengal,2001,27,0,27
Andaman & Nicobar Islands,2002,6,0,6
Andhra Pradesh,2002,1676,408,2084
Arunachal Pradesh,2002,132,0,132
Assam,2002,296,36,332
Bihar,2002,647,13,660
Chandigarh,2002,75,0,75
Chhattisgarh,2002,1208,199,1407
Dadra & Nagar Haveli,2002,0,0,0
Daman & Diu,2002,0,0,0
Delhi,2002,1146,46,1192
Goa,2002,67,1,68
Gujarat,2002,3109,226,3335
Haryana,2002,2421,90,2511
Himachal Pradesh,2002,120,1,121
Jammu & Kashmir,2002,3,0,3
Jharkhand,2002,510,236,746
Karnataka,2002,258,19,277
Kerala,2002,230,4,234
Lakshadweep,2002,0,0,0
Madhya Pradesh,2002,6657,1879,8536
Maharashtra,2002,5063,316,5379
Manipur,2002,0,0,0
Meghalaya,2002,62,6,68
Mizoram,2002,42,18,60
Nagaland,2002,12,2,14
Odisha,2002,189,3,192
Puducherry,2002,16,0,16
Punjab,2002,155,1,156
Rajasthan,2002,1852,85,1937
Sikkim,2002,2,0,2
Tamil Nadu,2002,5763,319,6082
Tripura,2002,7,0,7
Uttar Pradesh,2002,96,0,96
Uttarakhand,2002,34,0,34
West Bengal,2002,17,0,17
Andaman & Nicobar Islands,2003,9,0,9
Andhra Pradesh,2003,2376,297,2673
Arunachal Pradesh,2003,173,23,196
Assam,2003,327,51,378
Bihar,2003,273,19,292
Chandigarh,2003,116,0,116
Chhattisgarh,2003,1533,69,1602
Dadra & Nagar Haveli,2003,2,0,2
Daman & Diu,2003,2,0,2
Delhi,2003,737,65,802
Goa,2003,77,10,87
Gujarat,2003,2313,404,2717
Haryana,2003,2012,14,2026
Himachal Pradesh,2003,109,15,124
Jammu & Kashmir,2003,18,0,18
Jharkhand,2003,375,446,821
Karnataka,2003,349,9,358
Kerala,2003,749,15,764
Lakshadweep,2003,0,0,0
Madhya Pradesh,2003,7167,505,7672
Maharashtra,2003,4674,396,5070
Manipur,2003,0,0,0
Meghalaya,2003,29,6,35
Mizoram,2003,78,4,82
Nagaland,2003,1,0,1
Odisha,2003,310,3,313
Puducherry,2003,40,0,40
Punjab,2003,83,49,132
Rajasthan,2003,1699,163,1862
Sikkim,2003,17,0,17
Tamil Nadu,2003,4804,91,4895
Tripura,2003,0,0,0
Uttar Pradesh,2003,60,1,61
Uttarakhand,2003,30,0,30
West Bengal,2003,123,0,123
Andaman & Nicobar Islands,2004,13,0,13
Andhra Pradesh,2004,1729,467,2196
Arunachal Pradesh,2004,89,2,91
Assam,2004,235,96,331
Bihar,2004,219,17,236
Chandigarh,2004,109,0,109
Chhattisgarh,2004,1771,231,2002
Dadra & Nagar Haveli,2004,4,0,4
Daman & Diu,2004,0,0,0
Delhi,2004,830,79,909
Goa,2004,68,6,74
Gujarat,2004,2363,326,2689
Haryana,2004,1665,12,1677
Himachal Pradesh,2004,117,0,117
Jammu & Kashmir,2004,11,0,11
Jharkhand,2004,381,441,822
Karnataka,2004,439,1,440
Kerala,2004,366,16,382
Lakshadweep,2004,0,0,0
Madhya Pradesh,2004,6974,459,7433
Maharashtra,2004,5285,211,5496
Manipur,2004,0,0,0
Meghalaya,2004,52,3,55
Mizoram,2004,689,129,818
Nagaland,2004,3,0,3
Odisha,2004,355,4,359
Puducherry,2004,55,0,55
Punjab,2004,96,0,96
Rajasthan,2004,1798,77,1875
Sikkim,2004,13,0,13
Tamil Nadu,2004,2223,150,2373
Tripura,2004,0,0,0
Uttar Pradesh,2004,125,10,135
Uttarakhand,2004,36,0,36
West Bengal,2004,89,4,93
Andaman & Nicobar Islands,2005,10,0,10
Andhra Pradesh,2005,2013,415,2428
Arunachal Pradesh,2005,122,25,147
Assam,2005,293,80,373
Bihar,2005,325,12,337
Chandigarh,2005,116,0,116
Chhattisgarh,2005,2765,372,3137
Dadra & Nagar Haveli,2005,19,0,19
Daman & Diu,2005,1,0,1
Delhi,2005,1208,42,1250
Goa,2005,64,2,66
Gujarat,2005,2404,344,2748
Haryana,2005,1601,22,1623
Himachal Pradesh,2005,194,0,194
Jammu & Kashmir,2005,7,0,7
Jharkhand,2005,499,561,1060
Karnataka,2005,235,7,242
Kerala,2005,462,2,464
Lakshadweep,2005,1,0,1
Madhya Pradesh,2005,5673,705,6378
Maharashtra,2005,6065,238,6303
Manipur,2005,0,0,0
Meghalaya,2005,89,18,107
Mizoram,2005,251,162,413
Nagaland,2005,3,0,3
Odisha,2005,549,106,655
Puducherry,2005,42,0,42
Punjab,2005,135,0,135
Rajasthan,2005,1867,91,1958
Sikkim,2005,24,0,24
Tamil Nadu,2005,2009,139,2148
Tripura,2005,0,0,0
Uttar Pradesh,2005,115,0,115
Uttarakhand,2005,37,2,39
West Bengal,2005,133,5,138
Andaman & Nicobar Islands,2006,88,3,91
Andhra Pradesh,2006,1553,326,1879
Arunachal Pradesh,2006,80,0,80
Assam,2006,489,50,539
Bihar,2006,226,13,239
